code,name,island,municipality,locality,address,postal_code,nature,center_type,host_center_code,longitude,latitude
38701501,CER LAS BREÑAS,LA PALMA,BREÑA BAJA,EL FUERTE,"C/ MANUEL BETHENCOURT MORALES, 44. CEIP EL FUERTE",38712,Público,CER,,-17.7734,28.642
38702201,CER FUENCALIENTE-MAZO,LA PALMA,VILLA DE MAZO,LA SABINA,"C/ LA SABINA, 170. CEIP LA SABINA",38730,Público,CER,38010268,,
38702601,CER GRANADILLA DE ABONA,TENERIFE,GRANADILLA DE ABONA,GRANADILLA DE ABONA,"CTRA. SAN MIGUEL, S/N. CEIP GRANADILLA DE ABONA",38611,Público,CER,38007932,,
38702901,CER GUÍA DE ISORA,TENERIFE,GUÍA DE ISORA,GUÍA DE ISORA,"C/ GUARPÍA, 1. URBANIZACIÓN EL PINILLO",38680,Público,CER,,-16.7775,28.2115
38703303,CER YCODEN DAUTE,TENERIFE,ICOD DE LOS VINOS,CUEVA DEL VIENTO,"CTRA. DEL AMPARO, 30",38430,Público,CER,,-16.7158,28.3644
38703602,CER VALLE DE ARIDANE,LA PALMA,LOS LLANOS DE ARIDANE,LOS LLANOS DE ARIDANE,"AVDA. EUSEBIO BARRETO LORENZO, 36",38760,Público,CER,38011561,,
38703703,CER TACORONTE-ACENTEJO,TENERIFE,LA VICTORIA DE ACENTEJO,LA VICTORIA DE ACENTEJO,"C/ LOS BAJOS, 84. CEIP BAJOS Y TAGORO",38380,Público,CER,38007658,,
38705701,CER LA GOMERA,LA GOMERA,VALLE GRAN REY,EL RETAMAL,C/ LOMO DEL BALO. CEIP EL RETAMAL,38879,Público,CER,38007452,,
38705904,CER SANTA CRUZ DE LA PALMA,LA PALMA,SANTA CRUZ DE LA PALMA,SANTA CRUZ DE LA PALMA,"BARRANCO DE LAS NIEVES, S/N. CEIP BENAHOARE",38700,Público,CER,38009588,,
38706028,CER ANAGA,TENERIFE,SANTA CRUZ DE TENERIFE,ROQUE NEGRO,"PLAZA NUESTRA SEÑORA DE FÁTIMA, 56. CEIP SOR FLORENTINA Y AGUSTÍN CABRERA DÍAZ",38139,Público,CER,38006368,,
38706701,CER EL TANQUE,TENERIFE,GARACHICO,GENOVÉS,"C/ EL PINO, S/N. CEIP GENOVÉS",38459,Público,CER,38008808,,
38707901,CER EL HIERRO,EL HIERRO,VALVERDE,MOCANAL,"C/ BARLOVENTO, 57-59. CEIP EL MOCANAL JUANA MARÍA HERNÁNDEZ ARMAS",38916,Público,CER,38008006,,
